local_identifier,title,subtitle,title_alternative,sort_order,series_title,description,provenance,note,abstract,date_full,date_note,personal_name,personal_name_addressee,personal_name_artist,personal_name_author,personal_name_cartographer,personal_name_compiler,personal_name_composer,personal_name_contributor,personal_name_dedicatee,personal_name_editor,personal_name_illustrator,personal_name_interviewee,personal_name_interviewer,personal_name_owner,personal_name_photographer,personal_name_publisher,personal_name_publishingdirector,personal_name_speaker,personal_name_translator,corporate_name,corporate_name_addressee,corporate_name_author,corporate_name_owner,corporate_name_photographer,family_name,type,genre,subgenre_audiovisual_materials,subgenre_ephemera,subgenre_manuscripts,subgenre_publications,subgenre_visual_materials,publisher_name,place_of_publication,language,extent,building_name,subject_personal_name,subject_corporate_name,subject_family_name,subject_geographic,subject_topical,ismemberof,ispartof,sequence_id,shelf_location,physical_location,restrictions_on_access,rights_statements,audios,images,models,videos,documents
(required),(required),,,,,,,,,(required),,,,,,,,,,,,,,,,,,,,,,,,,,,(required),(required),(required),(required),(required),(required),(required),,,(required),(required),,,,,,,(required),(required),(required),,,(required - constant value),,,,,,
yhm-com-bnl-mss-0126,Letter from Mrs. Harris   ,,,,,,,,,1893-09-23,,,,,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0127,Letter from Mrs. Harris to friends at F. G. ,,,,,,,,,1893-10-09,,,,,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0128,"Letter, starts with ""I was glad to receive yours of 26th & thanks for the poetry but I actually have a copy of it...""",,,,,,,,,1894-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,6 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0129,Letter from Mrs. Harris to a friend in England,,,,,,,,,1894-05-27,,,,,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,10 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0130,Letter from Mrs. Harris ,,,,,,,,,1895-05-28,,,,,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,5 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0131,Letter from Lady Dovie,,,,,,,,,1895-08-18,,,,,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0132,Letter from T. L. Harris to Kanaye Nagasawa,,,,,,,,,1897-01-23,,,"Nagasawa, Kanaye",,"Harris, T. L.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,10 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0133,Letter from Mrs. Harris ,,,,,,,,,1898-07-25,,,,,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,3 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0134,"Letter from Mrs. Harris to ""an English brother,"" Mr. Harris' dictation relative to South Africa",,,,,,,,,1899-12-10|@|1899-12-11,,,,,"Harris, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,7 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0135,"Envelope from letter addressed to Fountain Grove Distillery, Santa Rosa",,,,,,,,,1899-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,CreativeWorkSeries,Ephemera,,Envelope,,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
