local_identifier,title,subtitle,title_alternative,sort_order,series_title,description,provenance,note,abstract,date_full,date_note,personal_name,personal_name_addressee,personal_name_artist,personal_name_author,personal_name_cartographer,personal_name_compiler,personal_name_composer,personal_name_contributor,personal_name_dedicatee,personal_name_editor,personal_name_illustrator,personal_name_interviewee,personal_name_interviewer,personal_name_owner,personal_name_photographer,personal_name_publisher,personal_name_publishingdirector,personal_name_speaker,personal_name_translator,corporate_name,corporate_name_addressee,corporate_name_author,corporate_name_owner,corporate_name_photographer,family_name,type,genre,subgenre_audiovisual_materials,subgenre_ephemera,subgenre_manuscripts,subgenre_publications,subgenre_visual_materials,publisher_name,place_of_publication,language,extent,building_name,subject_personal_name,subject_corporate_name,subject_family_name,subject_geographic,subject_topical,ismemberof,ispartof,sequence_id,shelf_location,physical_location,restrictions_on_access,rights_statements,audios,images,models,videos,documents
(required),(required),,,,,,,,,(required),,,,,,,,,,,,,,,,,,,,,,,,,,,(required),(required),(required),(required),(required),(required),(required),,,(required),(required),,,,,,,(required),(required),(required),,,(required - constant value),,,,,,
yhm-com-bnl-mss-0153,Letter from I. D. Pearce to V. Valta Parma,,,,,,,,,10/2/1925,,,"Parma, V. Valta, 1878-1941",,"Pearce, I. D. (Isabella D.)",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0154,Letter from I. D. Pearce to V. Valta Parma,,,,,,,,,3/15/1927,,,"Parma, V. Valta, 1878-1941",,"Pearce, I. D. (Isabella D.)",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0155,Letter from I. D. Pearce to V. Valta Parma,,,,,,,,,4/20/1926,,,"Parma, V. Valta, 1878-1941",,"Pearce, I. D. (Isabella D.)",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0156,Letter from James Foster Scott to V. Valta Parma,,,,,,,,,7/23/1926,,,"Parma, V. Valta, 1878-1941",,"Scott, James Foster",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0157,Letter to Mrs. Pearce,,,,,,,,,8/30/1926,,,,,"Pearce, Mrs.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0158,Letter from I. D. Pearce to V. Valta Parma,,,,,,,,,9/13/1926,,,"Parma, V. Valta, 1878-1941",,"Pearce, I. D. (Isabella D.)",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0159,Letter from I. D. Pearce to V. Valta Parma,,,,,,,,,9/21/1926,,,"Parma, V. Valta, 1878-1941",,"Pearce, I. D. (Isabella D.)",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0160,Letter from Henry van Dyke to V. Valta Parma,,,,,,,,,10/13/1926,,,"Parma, V. Valta, 1878-1941",,"Van Dyke, Henry",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0161,Letter from I. D. Pearce to V. Valta Parma,,,,,,,,,11/4/1926,,,"Parma, V. Valta, 1878-1941",,"Pearce, I. D. (Isabella D.)",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0162,Letter from I. D. Pearce to V. Valta Parma,,,,,,,,,11/19/1926,,,"Parma, V. Valta, 1878-1941",,"Pearce, I. D. (Isabella D.)",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0163,Letter from I. D. Pearce to V. Valta Parma,,,,,,,,,11/25/1926,,,"Parma, V. Valta, 1878-1941",,"Pearce, I. D. (Isabella D.)",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0164,Letter from I. D. Pearce to V. Valta Parma,,,,,,,,,12/6/1926,,,"Parma, V. Valta, 1878-1941",,"Pearce, I. D. (Isabella D.)",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0165,Letter from I. D. Pearce to V. Valta Parma,,,,,,,,,1/2/1927,,,"Parma, V. Valta, 1878-1941",,"Pearce, I. D. (Isabella D.)",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0166,Letter from I. D. Pearce to V. Valta Parma,,,,,,,,,1/4/1927,,,"Parma, V. Valta, 1878-1941",,"Pearce, I. D. (Isabella D.)",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0167,Letter from V. Valta Parma to Sir Arthur Conan Doyle,,,,,,,,,2/20/1927,,,,,"Parma, V. Valta, 1878-1941",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0168,Letter from V. Valta Parma to Mrs. I. D. Pearce,,,,,,,,,2/20/1927,,,"Pearce, I. D. (Isabella D.)",,"Parma, V. Valta, 1878-1941",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,3 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0169,Letter from V. Valta Parma to Diana Balais,,,,,,,,,2/22/1927,,,"Balais, Diana",,"Parma, V. Valta, 1878-1941",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0170,Letter from I. D. Pearce to V. Valta Parma,,,,,,,,,4/22/1927,,,"Parma, V. Valta, 1878-1940",,"Pearce, I. D. (Isabella D.)",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0171,Letter from Annie Wood (?) to V. Valta Parma,,,,,,,,,2/27/1935,,,"Parma, V. Valta, 1878-1941",,"Wood, Annie",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0172,Letter from Pallas Parma to Mr. Van Horne,,,,,,,,,2/21/1942,,,"Horne, Van",,"Parma, Pallas",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0173,Letter from David H. Beetle to Pallas Parma,,,,,,,,,3/23/1942,,,"Parma, Pallas",,"Beetle, David H.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0174,Letter from W. H. Cowley to Pallas Parma,,,,,,,,,9/14/1942,,,"Parma, Pallas",,"Cowley, W. H.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0175-01,Letter from Lewis Stieg to Pallas Parma,,,,,,,,,9/22/1942,,,"Parma, Pallas",,"Stieg, Lewis",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0175-02,Letter to V. Valta Parma from Amsterdam ,,,,,,,,,19XX-08-29,,,"Parma, V. Valta, 1878-1941",,,,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0176,"Letter from Dovie [Jane Lee Waring] to Sir Arthur [A. Cuthbert]; March 22, [1892]",,,,,,,,,XXXX-03-22,,,"Cuthbert, Arthur A.",,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0177,"Letter from Dovie [Jane Lee Waring] to Sir Arthur [A. Cuthbert]; April 4, [1892]",,,,,,,,,XXXX-04-05,,,"Cuthbert, Arthur A.",,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0178,Letter from Arthur A. Cuthbert; April 13 [1891],,,,,,,,,XXXX-04-13,,,,,"Cuthbert, Arthur A.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0179,Envelope addressed to T. L. Harris about letters from Father and Lady Dovie to Sir Arthur [A. Cuthbert],,,,,,,,,XXXX-05-XX,,,"Harris, T. L.",,,,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0180,"Letter from Jane Lee Waring to Kanaye Nagasawa; May 7, [1892]",,,,,,,,,XXXX-05-07,,,"Nagasawa, Kanaye",,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,8 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0181,"Letter signed Father [T. L. Harris], starts with ""I have this moment sent a big letter to you; but father wishes to add the following...""; ca. fall 1892",,,,,,,,,XXXX-08-XX,,,,,"Harris, T. L.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0182,"Letter from Dovie Bear [Jane Lee Waring] to ""Bears""; August 24 [1892]",,,,,,,,,XXXX-08-24,,,Bears,,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0183,Letter from Lea S. Luguer to V. Valta Parma,,,,,,,,,XXXX-09-18,,,"Parma, V. Valta, 1878-1941",,"Luguer, Lea S.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0184-01,"Letter, starts with ""Taken in charge by those who are appointed...""",,,,,,,,,XXXX-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0184-02,"Envelope, on the front it says ""Letters- French Soldats""",,,,,,,,,XXXX-XX-XX,,,,,,,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0185,Telegraph from Kanaye Nagasawa to J. H. Freeman,,,,,,,,,XXXX-XX-XX,,,"Freeman, J. H.",,"Nagasawa, Kanaye",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,1 image,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0186,"Envelope containing ""very personal"" letters about Dovie and Harris",,,,,,,,,XXXX-XX-XX,,,,,,,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0187,Letters from C. W. Savage to the editors of the Literary World and Christian World [summer 1891],,,,,,,,,1891-06-09,,,,,"Savage, C. W.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,6 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0188,Letter from Dovie [Jane Lee Waring]; ca. May or June 1892,,,,,,,,,XXXX-XX-XX,,,,,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0189,"Letter from Jane Lee Waring; ca. December 1892; starts with ""Just a line sweet love brother to assure you that I still see..."" ",,,,,,,,,XXXX-XX-XX,,,,,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0190,Letter from Dovie [Jane Lee Waring] to Kanaye Nagasawa ,,,,,,,,,XXXX-XX-XX,,,"Nagasawa, Kanaye",,"Waring, Jane Lee",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0191,"Letter starts with ""[illegible], driving the panic and its forced sales link (?) to nearly the price of the naked iron...""",,,,,,,,,XXXX-XX-XX,,,,,,,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,4 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0192,Letter regarding Elihu Root bust in Pan American Union Building (with photos attached),,,,,,,,,XXXX-XX-XX,,,,,,,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,6 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0193,"Jane Lee Waring Harris, account of visit by William T. Stead, July 3, 1893; Copy of letter received from M. J. McNish",,,,,,,,,1893-07-03|@|1894-04-22,,"Waring, Jane Lee",,,"Stead, William T.|@|McNish, M. J.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0194,Letter from I. D. Pearce to the editor of the British Weekly,,,,,,,,,XXXX-XX-XX,,,,,"Pearce, I. D. (Isabella D.)",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
yhm-com-bnl-mss-0195,Letter from F. S. Brownell to Mr. Pratt,,,,,,,,,XXXX-XX-XX,,,"Pratt, Mr.",,"Brownell, F. S.",,,,,,,,,,,,,,,,,,,,,,Manuscript,Manuscripts,,,Correspondence,,,,,,2 images,,,,,,,,,,,Hamilton College Library Special Collections|@|Burke 005|@|boxed,There are no restrictions on access to this resource.,,,,,,
