Extracted metadata from Archipelago,Suggested format for readibility,Source
"[{agent_type:personal,label:Johnson, Guy, approximately 1740-1788,uri:http://id.loc.gov/authorities/names/n85368730,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Wyllys, George, 1710-1796,uri:http://id.loc.gov/authorities/names/nr2004008379,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Clinton, George, 1739-1812,uri:http://id.loc.gov/authorities/names/n86125388,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Harpur, Robert, 1731-1825,uri:http://id.loc.gov/authorities/names/no2004054650,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Jones, Samuel, 1734-1819,uri:http://id.loc.gov/authorities/names/nr95044455,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Lâ€™Hommedieu, Ezra, 1734-1811,uri:,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Eddy, Thomas, 1758-1827,uri:http://id.loc.gov/authorities/names/n88087129,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Jay, John, 1745-1829,uri:http://id.loc.gov/authorities/names/n79088877,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Floyd, William, 1734-1821,uri:http://id.loc.gov/authorities/names/nr92022288,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Lewis, Morgan, 1754-1844,uri:http://id.loc.gov/authorities/names/n87895078,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Hitchcock, Zina, 1755-1832,uri:,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Kirkland, Joseph, Gen., 1770-1844,uri:,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Fowler, David, 1735-1807,uri:,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Tuhie, John, 1744-1811,uri:,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Skeesuck, John, approximately 1746-approximately 1807,uri:,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Wauby, Isaac, 1762-,uri:http://id.loc.gov/authorities/names/no2015148370,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Pryor, Edmund, 1755-,uri:,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:McNeil, Henry,uri:,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Hart, Thomas, 1749-1811,uri:,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Dick, William, 1786-1869,uri:,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Abner, Randall, 1789-1852,uri:,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut},{agent_type:personal,label:Marthers, Eliphalet, 1783-1851,uri:,role_label:Author,role_uri:http://id.loc.gov/vocabulary/relators/aut}]","Johnson, Guy, approximately 1740-1788 ; Wyllys, George, 1710-1796 ; Clinton, George, 1739-1812 ; Harpur, Robert, 1731-1825 ; Jones, Samuel, 1734-1819 ; L’Hommedieu, Ezra, 1734-1811 ; Eddy, Thomas, 1758-1827 ; Jay, John, 1745-1829 ; Floyd, William, 1734-1821 ; Lewis, Morgan, 1754-1844 ; Hitchcock, Zina, 1755-1832 ; Kirkland, Joseph, 1770-1844 ; Fowler, David, 1735-1807 ; Tuhie, John, 1744-1811 ; Skeesuck, John, approximately 1746-approximately 1807 ; Wauby, Isaac, 1762- ; Pryor, Edmund, 1755- ; McNeil, Henry ; Hart, Thomas, 1749-1811 ; Dick, William, 1786-1869 ; Abner, Randall, 1789-1852 ; Marthers, Eliphalet, 1783-1851","Brothertown_archipelago_csv row 271, column M"
"[1774-10-04,1785-02-04,1794-09-17,1804-XX-XX,1828-06-02]",1774-10-04 ; 1785-02-04 ; 1794-09-17 ; 1804-XX-XX ; 1828-06-02,"Brothertown_archipelago_csv row 271, column P"
"[{label:Oneida County (N.Y.),uri:http://id.loc.gov/authorities/names/n80073548},{label:Stockbridge (N.Y. : Town),uri:http://id.loc.gov/authorities/names/n2001044748}]",Oneida County (N.Y.) ; Stockbridge (N.Y. : Town),"Brothertown_archipelago_csv row 159, column AE"
