node_uuid,row_number,mods_titleinfo_title,sort_order,type,mods_genre_authority_local,mods_genre_subgenre_authority_local,subgenre_audiovisual_materials,subgenre_ephemera,subgenre_manuscripts,subgenre_publications,subgenre_realia,subgenre_visual_materials,mods_personal_name_author,mods_personal_name_editor,mods_personal_name_photographer,mods_personal_name_addressee,mods_name_personal_namepart_refined,family_name,mods_origininfo_dateother,mods_origininfo_datecreated,date_full,date_note,mods_language_languageterm_text,mods_physicaldescription_extent,mods_abstract,mods_subject_geographic,mods_subject_corporate_name,mods_subject_personal_name,mods_subject_topic,mods_subject_family_name,ismemberof,ispartof,sequence_id,mods_identifier_local,mods_location_shelflocator,pid,mods_accesscondition_restriction_on_access,mods_accesscondition_use_and_reproduction,mods_recordinfo_recordcontentsource,mods_relateditem_host_titleinfo_title,mods_recordinfo_recordcreationdate,documents,images,texts,videos,audios
9f8d8516-384d-4be6-99c6-6c409b4c2e16,244,"Page 129 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",244,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,129,yhm-spe-bro-01-field_s129,,hamLibSparc:12381923,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s129.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s129.txt,,
6501e76f-cab5-4cf7-9702-27af86b0b8fb,245,"Page 130 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",245,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,130,yhm-spe-bro-01-field_s130,,hamLibSparc:12381924,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s130.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s130.txt,,
e4683666-0d5a-4caa-a380-e98fa9e5f42d,246,"Page 131 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",246,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,131,yhm-spe-bro-01-field_s131,,hamLibSparc:12381925,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s131.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s131.txt,,
8ebab311-a351-4ccf-a6e8-9c424ca1418f,247,"Page 132 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",247,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,132,yhm-spe-bro-01-field_s132,,hamLibSparc:12381926,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s132.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s132.txt,,
d962d0b5-a0f0-4612-a79a-e83d2c28cbc0,248,"Page 133 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",248,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,133,yhm-spe-bro-01-field_s133,,hamLibSparc:12381927,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s133.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s133.txt,,
58eb2903-17b6-4cc2-911b-01e360ea694d,249,"Page 134 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",249,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,134,yhm-spe-bro-01-field_s134,,hamLibSparc:12381928,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s134.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s134.txt,,
e179f322-9dfa-41e1-91e1-6c3636151061,250,"Page 135 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",250,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,135,yhm-spe-bro-01-field_s135,,hamLibSparc:12381929,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s135.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s135.txt,,
499012d4-c32d-4c6c-99cd-c56bac42f092,251,"Page 136 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",251,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,136,yhm-spe-bro-01-field_s136,,hamLibSparc:12381930,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s136.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s136.txt,,
12413bd2-bfbf-47d6-9dfb-dfecdb0fa8ac,252,"Page 137 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",252,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,137,yhm-spe-bro-01-field_s137,,hamLibSparc:12381931,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s137.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s137.txt,,
726d0e34-bb67-4366-8dc3-3064908fddfb,253,"Page 138 - Field book of the survey of the Indian lands in Brothertown, Oneida Co., New York, S. Curtiss, Superintendent of Brothertown, 1843",253,Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,138,yhm-spe-bro-01-field_s138,,hamLibSparc:12381932,,,,,,,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s138.tif,/var/www/diglib/LibSpace/drop-box/Ready-for-Ingest/from-Metalogers/Brothertown/yhm-spe-bro-01-field_s138.txt,,
